labels,polynomials,possibly_nonmaximal_primes,probably_nonmaximal_primes,verbose_output,torsion_primes
249.a.249.1,"[[0, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 7]","['2.1p3.irred:wit=[-1]', '7.1p3:wit=[0, 11, 5]']","{2, 7}"
249.a.6723.1,"[[2, 3, 1, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 7]","['2.1p3.irred:wit=[-1]', '7.1p3:wit=[0, 11, 5]']","{2, 7}"
277.a.277.1,"[[0, -1, -1], [1, 1, 1, 1]]","{2, 3, 5, 7}","[2, 3, 5]","['2.?:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '5.1p3.2p2:wit=[0, 3, 3]']","{3, 5}"
277.a.277.2,"[[-6, 11, -19, 14, -9, 1], [1]]","{2, 3, 5, 7}","[2, 3, 5]","['2.?:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '5.1p3.2p2:wit=[0, 3, 3]']",{5}
295.a.295.1,"[[0, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 7]","['2.1p3.irred:wit=[-1]', '7.1p3:wit=[0, 3, 3]']","{2, 7}"
295.a.295.2,"[[-608, 389, 22, -40, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 7]","['2.1p3.irred:wit=[-1]', '7.1p3:wit=[0, 3, 3]']",{2}
349.a.349.1,"[[0, 0, -1, -1], [1, 1, 1, 1]]","{2, 3, 5, 7, 13}","[2, 13]","['2.irred:wit=[-1]', '13.1p3:wit=[0, 3]']",{13}
353.a.353.1,"[[0, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7, 11}","[2, 11]","['2.1p3:wit=[-1]', '11.1p3:wit=[0, 3]']",{11}
388.a.776.1,"[[0, 1, 2, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3, 7]","['2.nss.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '7.1p3:wit=[0, 3, 3]']","{3, 7}"
389.a.389.1,"[[7, 16, 0, -8, -2, 1], [0, 1, 0, 1]]","{2, 3, 5, 7, 29}","[2, 5]","['2.1p3.irred:wit=[-1]', '5.1p3:wit=[0, 7, 3]']","{2, 5}"
389.a.389.2,"[[0, 0, 1, 2, 2, 1], [1, 1]]","{2, 3, 5, 7, 29}","[2, 5]","['2.1p3.irred:wit=[-1]', '5.1p3:wit=[0, 7, 3]']","{2, 5}"
394.a.394.1,"[[-9, 17, 0, -12, 1, 2], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred.irred:wit=[-1]', '5.1p3.2p2:wit=[0, 11, 3]']","{2, 5}"
394.a.3152.1,"[[0, 0, 0, 0, 0, -1], [1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred.irred:wit=[-1]', '5.1p3.2p2:wit=[0, 11, 3]']","{2, 5}"
427.a.2989.1,"[[-4, 4, 4, -5, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 7]","['2.1p3:wit=[-1]', '7.1p3:wit=[0, 5, 3]']","{2, 7}"
461.a.461.1,"[[-2, 3, 0, -3, 0, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}","[2, 7]","['2.?:wit=[-1]', '7.1p3:wit=[0, 3, 5]']",{7}
461.a.461.2,"[[-306, 272, 10, -39, -1, 1], [1]]","{2, 3, 5, 7}","[2, 7]","['2.?:wit=[-1]', '7.1p3:wit=[0, 3, 5]']",{}
464.a.464.1,"[[0, 0, 0, -1, -2, -2, -1], [1, 1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.irred:wit=[-1]'],{2}
464.a.29696.1,"[[0, 0, -2, -4, 3, 8], [1, 1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.irred:wit=[-1]'],{2}
464.a.29696.2,"[[0, 1, 16, 72, 33, 4], [0, 1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.irred:wit=[-1]'],{2}
472.a.944.1,"[[0, 1, 0, -2, -1, 1], [1, 0, 1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.irred:wit=[-1]'],{2}
472.a.60416.1,"[[0, 0, 2, 4, 5, 8], [1, 1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.irred:wit=[-1]'],{2}
523.a.523.1,"[[0, 0, 0, -1, -1, 1], [1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.2p2.irred:wit=[-1]', '5.1p3:wit=[0, 7, 3]']","{2, 5}"
523.a.523.2,"[[0, -1, 21, -110, -31, 1], [0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.2p2.irred:wit=[-1]', '5.1p3:wit=[0, 7, 3]']",{2}
555.a.8325.1,"[[0, 1, 1, -4, -2, 3], [1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.cusp.irred:wit=[-1]', '5.1p3:wit=[0, 13, 7]']","{2, 5}"
574.a.293888.1,"[[1, 1, -3, 0, -1, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '5.1p3:wit=[0, 13, 3]']","{2, 5}"
587.a.587.1,"[[0, -1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[],[],{}
597.a.597.1,"[[0, 1, 2, 3, 2, 1], [1]]","{2, 3, 5, 7}","[2, 7]","['2.?:wit=[-1]', '7.1p3:wit=[0, 5, 5]']",{7}
603.a.603.1,"[[0, 2, 4, 4, 8, 1], [1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 7]']","{2, 5}"
603.a.603.2,"[[0, 1, 0, -1, 0, 1], [1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 7]']","{2, 5}"
604.a.9664.1,"[[-21, -53, -4, 48, 9, 4], [1, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.irred:wit=[-1]', '3.1p3.2p2.irred.irred:wit=[0, 5, 0]']",{}
604.a.9664.2,"[[0, -1, 1, 1, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.irred:wit=[-1]', '3.1p3.2p2.irred.irred:wit=[0, 5, 0]']",{3}
644.b.14812.1,"[[-1, -1, 5, -4, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']","{2, 5}"
688.a.2752.1,"[[0, -1, 0, 4, -5, 2], [1]]","{2, 3, 5, 7, 11, 89, 29}","[2, 5]","['2.nss.1p3.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']","{2, 5}"
688.a.704512.2,"[[1, 4, 2, -8, -7, 2], []]","{2, 3, 5, 7, 11, 89, 29}","[2, 5]","['2.nss.1p3.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']","{2, 5}"
688.a.704512.1,"[[1, 2, 1, 4, 0, 2], []]","{2, 3, 5, 7, 11, 89, 29}","[2, 5]","['2.nss.1p3.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']","{2, 5}"
691.a.691.1,"[[0, 0, -1, -1, 0, 1], [1, 1]]","{2, 3, 5, 7, 17}",[2],['2.1p3.irred:wit=[-1]'],{2}
704.a.45056.1,"[[0, 0, -2, -1, 4, 4], [1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.cusp.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]']","{2, 3}"
708.a.2832.1,"[[0, 0, 0, 0, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.irred.irred:wit=[-1]', '5.1p3.irred:wit=[0, 7, 7]']","{2, 5}"
708.a.19116.1,"[[-1, 4, 4, 0, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.irred.irred:wit=[-1]', '5.1p3.irred:wit=[0, 7, 7]']","{2, 5}"
708.a.181248.1,"[[-36, -98, -41, 48, 9, -4, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.irred.irred:wit=[-1]', '5.1p3.irred:wit=[0, 7, 7]']",{2}
709.a.709.1,"[[0, 1, -2, 0, 0, 1], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
713.a.713.1,"[[0, -1, 0, 0, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.cusp:wit=[-1]'],{}
713.b.713.1,"[[0, 0, 0, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.cusp:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]']",{3}
731.a.12427.1,"[[-3, -1, 0, 0, 2, 1], [0, 0, 1, 1]]","{2, 3, 5, 7, 11}","[2, 5]","['2.1p3.cusp.irred:wit=[-1]', '5.1p3:wit=[0, 7, 3]']","{2, 5}"
741.a.28899.1,"[[0, 1, 2, 0, -1, -3], [1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.cusp.irred:wit=[-1]'],{2}
743.a.743.1,"[[0, 0, 1, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[],[],{}
745.a.745.1,"[[0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.irred.irred:wit=[-1]', '3.1p3.2p2.irred:wit=[0, 29, 0]']",{3}
762.a.3048.1,"[[1, 1, 1], [0, 1, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2.irred.irred.irred.irred:wit=[0, 17, 0]']","{2, 3}"
762.a.82296.1,"[[0, -1, 2, 14, -8, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2.irred.irred.irred.irred:wit=[0, 17, 0]']","{2, 3}"
763.a.763.1,"[[0, -1, 2, 0, -2], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred.irred:wit=[-1]', '5.1p3:wit=[0, 13, 3]']","{2, 5}"
768.a.1536.1,"[[0, 1, 0, -3, -1, 2], [1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
768.a.4608.1,"[[-1, -1, -1, -1], [1, 1, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
797.a.797.1,"[[0, 0, 0, 1, -1, 1], [1]]","{2, 3, 5, 7, 23}","[2, 7]","['2.1p3:wit=[-1]', '7.1p3:wit=[0, 3, 3]']",{7}
807.a.2421.1,"[[-1, 2, -1, -2, 0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
816.a.13872.1,"[[3, -8, 6, 0, -2], [0, 0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.2p2.cusp.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
816.a.39168.1,"[[0, 1, -1, -4, 0, 3], [1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.2p2.cusp.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
826.a.11564.1,"[[3, -4, -4, 3, 1, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.cusp.irred.irred:wit=[-1]', '3.1p3.2p2.cusp.irred:wit=[0, 5, 0]']","{2, 3}"
830.a.6640.1,"[[1, 1, -2, 0, 1, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
830.a.830000.1,"[[0, 1, 8, 16, -2, 1], [0, 1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
832.a.832.1,"[[-1, 2, 1, -1, 0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.cusp.irred:wit=[-1]'],{2}
834.a.1668.1,"[[-1, 1, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
847.c.9317.1,"[[-2, -1, 0, 1, 1], [0, 0, 1, 1]]","{2, 3, 5, 7, 11}",[2],['2.1p3.cusp.irred:wit=[-1]'],{2}
856.a.1712.1,"[[0, 1, 0, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
862.a.862.1,"[[5, 2, 7, -7, -2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
862.a.6896.1,"[[0, -1, -3, 0, 6, 4], [0, 1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
862.b.862.1,"[[-1, -1, 3, 0, -2], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.?:wit=[-1]', '3.1p3.2p2.irred.irred.irred:wit=[0, 5, 0]']",{3}
886.a.3544.1,"[[1, -1, 0, 0, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3, 5]","['2.?:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '5.1p3.irred.irred:wit=[0, 3, 3]']","{3, 5}"
893.a.893.1,"[[0, 0, -1, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[],[],{}
909.a.909.1,"[[0, -1, 1, 0, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
909.a.8181.1,"[[0, -3, 6, 1, -7, 3], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
925.a.925.1,"[[0, 0, -1, -1, 2, -1], [1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
925.a.23125.1,"[[0, -5, 18, -19, 1, 5], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
932.a.3728.1,"[[0, -1, 1, 0, 1, -2, 1], [1]]","{2, 3, 5, 7}",[2],['2.nss.irred.irred:wit=[-1]'],{}
953.a.953.1,"[[0, 0, 1, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3:wit=[-1]'],{}
966.a.834624.1,"[[1, -1, 1, 1, -1, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.2p2.cusp.cusp.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2.cusp.irred:wit=[0, 11, 0]']","{2, 3}"
970.a.1940.1,"[[0, 0, 1, 1, 1, 1], [1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred:wit=[-1]', '5.1p3:wit=[0, 13, 3]']","{2, 5}"
971.a.971.1,"[[0, 1, 0, -2, 0, 1], [1]]","{2, 3, 5, 7, 13}",[2],['2.?:wit=[-1]'],{}
975.a.63375.1,"[[-1, 1, 2, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
976.a.999424.1,"[[0, 0, -1, 2, 0, -2, 1], [1, 1]]","{2, 3, 5, 7, 29}","[2, 29]","['2.nss:wit=[-1]', '29.1p3:wit=[0, 3]']",{29}
997.a.997.1,"[[0, -1, 0, 16, -8, 1], [0, 1]]","{2, 3, 5, 7, 17}",[2],['2.1p3.irred:wit=[-1]'],{2}
997.a.997.2,"[[0, 0, 0, 0, 1, 1], [1, 1]]","{2, 3, 5, 7, 17}",[2],['2.1p3.irred:wit=[-1]'],{2}
997.b.997.1,"[[0, 0, -1, 2, -2, 1], [1]]","{2, 3, 5, 7, 29}","[2, 3]","['2.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]']",{3}
1012.a.4048.1,"[[0, 1, 1, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3, 5]","['2.nss:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '5.1p3.cusp.cusp:wit=[0, 3, 3]']","{3, 5}"
1038.a.1038.2,"[[1, 1, 2, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 17, 0]']","{2, 3}"
1038.a.1038.1,"[[3, 21, 46, 26, -12, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 17, 0]']","{2, 3}"
1042.a.1042.1,"[[2, 2, -1, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.?:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]']",{3}
1047.a.3141.1,"[[0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.2p2.irred.irred.irred:wit=[-1]', '5.1p3:wit=[0, 7, 7]']","{2, 5}"
1051.a.1051.1,"[[0, -1, 1, 0, -1, 1], [1]]","{2, 3, 5, 7, 73}",[2],['2.?:wit=[-1]'],{}
1051.b.1051.1,"[[0, 0, 0, 0, -1, -1], [1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1051.b.1051.2,"[[0, 1, 0, 16, 8, 1], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1055.a.1055.1,"[[-1, -1, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 17, 0]']","{2, 3}"
1062.a.6372.1,"[[0, -1, 1, 0, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred.irred:wit=[-1]'],{2}
1069.a.1069.1,"[[0, 0, 0, 1, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 7]","['2.irred:wit=[-1]', '7.1p3.2p2:wit=[0, 5, 3]']",{7}
1070.a.2140.1,"[[0, -1, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1077.a.1077.2,"[[0, 1, 2, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3:wit=[-1]'],{2}
1077.a.1077.1,"[[32, -90, -1, 80, 34, 5], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3:wit=[-1]'],{2}
1077.b.1077.1,"[[-2, -1, 0, 0, 1, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3:wit=[-1]', '5.1p3:wit=[0, 7, 7]']",{5}
1077.b.1077.2,"[[-1, 15, -79, 38, 14, 1], [1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3:wit=[-1]', '5.1p3:wit=[0, 7, 7]']",{}
1091.a.1091.1,"[[0, 0, -1, -2, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 7]","['2.irred:wit=[-1]', '7.1p3:wit=[0, 3, 5]']",{7}
1094.a.2188.1,"[[0, 0, -1, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.?:wit=[-1]'],{}
