labels,torsion_primes
3970.a.992500.1,{2}
3973.a.3973.1,{3}
3978.a.930852.1,{2}
3979.a.3979.1,{}
3984.a.47808.1,{2}
3989.a.3989.1,{5}
3997.a.3997.1,{2}
4006.a.64096.1,{2}
4016.a.64256.1,{}
4021.a.4021.1,{}
4025.a.4025.1,{}
4036.a.16144.1,{3}
4043.a.4043.1,{2}
4044.a.8088.1,"{2, 3}"
4048.a.712448.1,{2}
4051.a.4051.1,{}
4059.a.133947.1,{2}
4069.a.4069.1,{2}
4069.a.4069.2,{2}
4075.a.4075.1,{2}
4086.a.32688.1,"{2, 5}"
4086.b.294192.1,{2}
4100.a.65600.1,{3}
4109.a.4109.1,{}
4110.a.131520.1,"{2, 3}"
4112.a.4112.1,{2}
4112.a.16448.1,{2}
4118.a.131776.1,{2}
4123.a.4123.1,{2}
4123.a.4123.3,{2}
4123.a.4123.2,{2}
4125.a.4125.1,{2}
4125.a.680625.1,{2}
4128.a.74304.1,{2}
4128.b.594432.1,{}
4132.a.66112.1,{3}
4136.a.8272.1,{2}
4136.b.8272.1,{2}
4136.c.132352.1,"{2, 7}"
4137.a.86877.1,{2}
4138.a.132416.1,"{2, 5}"
4146.a.24876.1,{2}
4150.a.41500.1,{2}
4152.a.49824.1,"{2, 5}"
4156.a.8312.1,{}
4157.a.4157.1,{}
4160.a.16640.1,{2}
4167.a.12501.1,{2}
4168.a.266752.1,{7}
4171.a.4171.1,{}
4173.a.12519.1,{2}
4178.a.4178.1,{3}
4181.a.472453.1,{2}
4185.a.4185.1,{2}
4185.b.4185.1,{}
4185.c.37665.1,{}
4190.a.8380.1,{2}
4196.a.16784.1,{}
4196.b.33568.1,{}
4197.a.4197.1,{}
4234.a.33872.1,{2}
4234.b.618164.1,{2}
4236.a.203328.1,{}
4236.b.542208.1,"{2, 3}"
4240.a.84800.1,"{2, 5}"
4252.a.68032.1,{3}
4254.a.25524.1,"{2, 5}"
4254.b.25524.1,"{2, 3}"
4255.a.97865.1,{2}
4256.a.544768.1,{2}
4263.a.4263.1,{}
4264.a.699296.1,"{2, 5}"
4273.a.4273.1,{}
4276.a.273664.1,{}
4282.a.8564.1,{}
4288.a.34304.1,{}
4288.b.548864.1,{11}
4291.a.30037.1,{}
4293.a.4293.1,{3}
4293.b.38637.1,{2}
4293.c.38637.1,"{3, 5}"
4296.a.34368.1,{}
4298.a.137536.1,{}
4304.a.68864.1,{}
4304.b.275456.1,{2}
4310.a.86200.1,{}
4312.a.189728.1,"{2, 5}"
4312.a.551936.1,"{2, 5}"
4324.a.99452.1,"{2, 3}"
4324.b.812912.1,{2}
4329.a.480519.1,{2}
4330.a.108250.1,"{2, 3}"
4331.a.307501.1,{2}
4332.c.25992.1,{}
4336.a.138752.1,{}
4337.a.4337.1,{}
4338.a.702756.1,{2}
4338.b.702756.1,{2}
4344.a.834048.1,"{2, 7}"
4346.a.178186.1,{2}
4352.a.8704.1,{2}
4356.b.470448.1,{}
4357.a.4357.1,{2}
4364.a.8728.1,{3}
4367.a.4367.1,{}
4367.b.4367.1,{}
4384.a.70144.1,{}
4384.b.140288.1,"{2, 3}"
4388.a.140416.1,{}
4392.a.26352.1,{2}
4403.a.4403.1,{}
4404.a.26424.1,{3}
4406.a.8812.1,{}
4407.a.13221.1,{}
4418.a.4418.1,{3}
4421.a.4421.1,{}
4421.b.4421.1,{}
4421.c.4421.1,{}
4428.a.239112.1,{}
4430.a.4430.1,"{2, 3}"
4431.a.837459.1,{2}
4432.a.17728.1,{}
4460.a.17840.1,{2}
4464.a.214272.1,{2}
4477.a.4477.1,{}
4482.a.4482.1,{5}
4482.b.71712.1,{}
4486.a.8972.1,{2}
4489.b.4489.1,{}
4494.a.62916.1,{2}
4496.a.575488.1,{}
4504.a.9008.1,{2}
4504.a.576512.1,{2}
4510.a.9020.1,{2}
4512.a.144384.1,{}
4512.b.324864.1,{3}
4514.a.4514.1,{3}
4515.a.67725.1,{2}
4517.a.4517.1,{5}
4518.a.578304.1,{2}
4524.a.176436.1,"{2, 5}"
4524.b.488592.1,{3}
4528.a.4528.1,{2}
4528.b.72448.1,{2}
4528.c.72448.1,"{2, 5}"
4533.a.122391.1,{}
4536.a.145152.1,{2}
4542.a.27252.1,{2}
4544.a.4544.1,{2}
4557.a.13671.1,{}
4564.a.4564.1,{5}
4571.a.4571.1,{5}
4577.a.4577.1,{}
4580.a.293120.1,{2}
4581.a.13743.1,{}
4587.a.4587.1,{}
4588.a.36704.1,{}
4589.a.4589.1,{}
4589.b.59657.1,{}
4599.a.96579.1,{2}
4606.a.147392.1,{}
4611.a.401157.1,{2}
4617.a.41553.1,"{2, 3}"
4619.a.4619.1,{}
4624.b.4624.1,{}
4624.d.295936.1,{13}
4629.a.4629.1,{2}
4644.a.9288.1,{}
4648.a.9296.1,"{2, 3}"
4648.b.18592.1,"{2, 5}"
4648.c.148736.1,"{2, 7}"
4649.a.4649.1,{}
4650.b.432450.1,{2}
4655.a.32585.1,{2}
4667.a.4667.1,{2}
4669.a.4669.1,{}
4671.a.126117.1,{}
4672.a.9344.1,{3}
4672.a.9344.2,{3}
4673.a.4673.1,{}
4680.a.449280.1,{2}
4691.a.4691.1,{}
4698.a.37584.1,{}
4698.b.408726.1,{2}
4698.c.761076.1,{}
4706.a.150592.1,{3}
4707.a.42363.1,{2}
4714.a.150848.1,{}
4720.a.75520.1,{2}
4725.a.297675.1,{2}
4735.a.4735.1,{}
4736.a.303104.1,{2}
4736.b.303104.1,{2}
4736.c.606208.1,{2}
4736.d.606208.1,"{2, 3}"
4736.e.606208.2,{2}
4736.e.606208.1,{2}
4741.a.4741.1,{}
4749.a.4749.1,{3}
4752.a.4752.1,{}
4752.b.19008.1,{}
4752.d.608256.1,{3}
4768.a.76288.1,{2}
4770.a.686880.1,"{2, 5}"
4773.a.529803.1,{2}
4775.a.4775.1,{}
4782.a.38256.1,{2}
4794.a.86292.1,{2}
4795.a.33565.1,"{2, 3}"
4799.a.4799.1,{}
4800.a.14400.1,"{2, 3}"
4808.a.9616.1,{}
4815.a.14445.1,{7}
4815.b.72225.1,{2}
4824.a.617472.1,"{2, 5}"
4827.a.4827.1,{5}
4827.b.43443.1,{}
4832.a.4832.1,{2}
4832.b.154624.1,{}
4834.a.154688.1,{}
4835.a.4835.1,{}
4839.a.14517.1,{}
4853.a.4853.1,{}
4857.a.4857.1,{3}
4860.a.19440.1,{2}
4863.a.131301.1,{2}
4864.a.9728.1,"{2, 3}"
4874.a.9748.1,{2}
4886.a.156352.1,"{2, 3}"
4889.a.4889.1,{}
4890.a.146700.1,{2}
4896.a.626688.1,"{2, 5}"
4908.a.9816.1,{3}
4908.a.628224.1,{}
4916.a.39328.1,{}
4923.a.14769.1,{2}
4924.a.78784.1,{}
4925.a.4925.1,{7}
4925.b.4925.1,{}
4932.a.177552.1,"{2, 5}"
4941.a.4941.1,{}
4941.b.400221.1,{}
4949.a.4949.1,{2}
4949.b.4949.1,{3}
4954.a.4954.1,{5}
4957.a.4957.1,{}
4962.a.4962.1,{2}
4963.a.4963.1,{2}
4964.a.9928.1,{2}
4968.a.804816.1,{2}
4969.a.4969.1,{}
4971.a.4971.1,{2}
4974.a.268596.1,{2}
4979.a.4979.1,{}
4989.a.14967.1,{}
4992.a.119808.1,{2}
4992.b.159744.1,"{2, 3}"
4992.c.958464.1,{2}
4997.a.4997.1,{}
5004.a.960768.1,{2}
5006.a.320384.1,{7}
5008.a.641024.1,{}
5012.a.80192.1,{}
5012.b.80192.1,{}
5012.c.320768.1,{}
5020.a.251000.1,"{2, 3}"
5024.a.40192.1,{}
5024.b.643072.1,{}
5026.a.35182.1,{2}
5027.a.5027.1,{}
5030.a.10060.1,{}
5030.b.50300.1,{2}
5032.a.40256.1,{3}
5043.a.5043.1,{}
5043.a.45387.1,{}
5046.a.20184.1,{}
5046.a.45414.1,{3}
5046.b.20184.1,{5}
5046.c.20184.1,{2}
5049.a.85833.1,{2}
5050.a.50500.1,{}
5051.a.5051.1,{2}
5056.a.5056.1,{2}
5059.a.5059.1,{}
5060.a.116380.1,{2}
5062.a.5062.1,{}
5072.a.81152.1,{5}
5072.b.81152.1,{5}
5072.c.81152.1,{}
5077.a.5077.1,{2}
5077.a.5077.2,{2}
5077.b.5077.1,{2}
5077.b.5077.2,{2}
5078.a.5078.1,{2}
5078.a.40624.1,{2}
5087.a.5087.1,{}
5088.a.10176.1,{2}
5088.b.651264.1,"{2, 7}"
5094.a.5094.1,{5}
5094.b.122256.1,{}
5100.a.61200.1,{}
5101.a.5101.1,{}
5103.a.15309.1,{}
5105.a.5105.1,{}
5108.a.20432.1,{}
5111.a.97109.1,{2}
5113.a.5113.1,{}
5114.a.20456.1,{3}
5120.a.40960.1,{2}
5120.b.40960.1,"{2, 3}"
5125.a.25625.1,{}
5126.a.10252.1,"{2, 3}"
5139.a.46251.1,{2}
5144.a.658432.1,{2}
5151.a.15453.1,{2}
5151.b.139077.1,"{2, 5}"
5157.a.5157.1,{2}
5157.b.5157.1,{}
5157.c.46413.1,{}
5157.d.417717.1,{2}
5157.e.417717.1,{2}
5161.a.5161.1,{}
5166.a.247968.1,"{2, 5}"
5170.a.10340.1,"{2, 3}"
5170.b.10340.1,{2}
5171.a.5171.1,{2}
5173.a.5173.1,{5}
5184.b.746496.1,"{2, 5}"
5184.c.995328.1,{2}
5196.a.332544.1,{2}
5200.b.332800.1,{13}
5201.a.36407.1,{}
5204.a.5204.1,{5}
5204.b.20816.1,{}
5208.a.281232.1,{2}
5208.b.656208.1,{2}
5209.a.5209.1,{}
5210.a.416800.1,{}
5214.a.344124.1,{2}
5215.a.912625.1,{}
5222.a.41776.1,{2}
5232.a.669696.1,{3}
5235.a.26175.1,{2}
5239.a.5239.1,{}
5247.a.425007.1,{}
5248.a.671744.1,{2}
5254.a.5254.1,{5}
5256.a.168192.1,{2}
5262.a.10524.1,{}
5263.a.99997.1,{}
5264.a.673792.1,{3}
5266.a.10532.1,{}
5267.a.5267.1,{}
5280.a.633600.1,{2}
5280.b.675840.1,{2}
5290.a.169280.1,"{2, 3}"
5295.a.79425.1,{}
5296.a.84736.1,"{2, 5}"
5296.b.84736.1,"{2, 5}"
5296.c.84736.1,{2}
5299.a.5299.1,{}
5304.b.31824.1,{2}
5304.c.31824.1,{2}
5304.d.286416.1,{2}
5312.a.5312.1,{2}
5312.b.5312.1,{2}
5312.c.339968.1,{2}
5312.d.339968.1,{2}
5312.e.679936.1,{2}
5313.a.5313.1,{}
5313.b.642873.1,{3}
5317.a.5317.1,{}
5319.a.5319.1,{}
5331.a.15993.1,{}
5334.a.37338.1,{2}
5336.a.170752.1,{2}
5344.a.85504.1,{}
5345.a.5345.1,{}
5352.a.289008.1,{2}
5352.a.685056.1,{2}
5357.a.5357.1,{}
5360.a.686080.1,{}
5363.a.5363.1,{}
5364.a.193104.1,{}
5365.a.5365.1,{2}
5365.a.670625.1,{2}
5365.b.777925.1,{2}
5376.a.32256.1,{2}
5376.a.75264.1,{2}
5376.b.75264.1,{2}
5390.d.237160.1,{2}
5390.d.862400.1,{2}
5392.a.690176.1,{}
5402.a.788692.1,{2}
5414.a.10828.1,{}
5414.b.21656.1,{}
5416.a.173312.1,{7}
5418.a.341334.1,"{2, 5}"
5424.a.5424.1,{2}
5429.a.483181.1,{2}
5434.a.43472.1,{}
5436.a.391392.1,"{2, 3}"
5440.a.27200.1,{2}
5440.b.27200.1,"{2, 3}"
5440.c.348160.1,{2}
5446.a.43568.1,"{2, 3}"
5449.a.5449.1,{}
5449.b.5449.1,{}
5451.a.5451.1,{2}
5454.a.174528.1,{}
5458.a.5458.1,{3}
5464.a.349696.1,{}
5465.a.5465.1,{}
5465.b.5465.1,{}
5472.a.10944.1,{2}
5472.c.87552.1,{2}
5477.a.5477.1,{5}
5477.a.5477.2,{}
5487.a.49383.1,{}
5487.b.170097.1,"{2, 3}"
5488.a.702464.1,{2}
5494.a.10988.1,{}
5495.a.5495.1,{2}
5495.a.686875.1,{2}
5496.a.32976.1,{2}
5497.a.5497.1,{3}
5497.b.5497.1,{3}
5497.c.5497.1,{}
5497.d.5497.1,{2}
5497.e.5497.1,{}
5501.a.5501.1,{}
5504.a.176128.1,{2}
5504.b.176128.1,{2}
5504.c.352256.1,{2}
5504.d.704512.1,{2}
5522.a.22088.1,{}
5525.a.5525.1,{2}
5526.a.132624.1,{2}
5526.b.397872.1,"{2, 5}"
5529.a.149283.1,{2}
5532.a.265536.1,{3}
5535.a.5535.1,{2}
5535.b.249075.1,{2}
5536.a.88576.1,{}
5547.a.5547.1,{}
5548.a.22192.1,{}
5550.a.133200.1,{2}
5555.a.5555.1,{}
5568.a.5568.1,"{2, 3}"
5568.b.89088.1,{2}
5569.a.5569.1,{}
5572.a.11144.1,{3}
5573.a.5573.1,{5}
5573.b.5573.1,{}
5576.a.11152.1,{2}
5576.a.44608.1,{2}
5578.a.22312.1,{}
5580.a.33480.1,{3}
5584.a.22336.1,{}
5589.a.5589.1,{}
5589.b.5589.1,{}
5589.c.452709.1,{3}
5591.a.5591.1,{2}
5592.a.33552.1,{}
5598.a.134352.1,{2}
5599.a.5599.1,{}
5602.a.179264.1,{3}
5610.a.56100.1,{2}
5627.a.5627.1,{}
5630.a.360320.1,{}
5637.a.152199.1,{2}
5641.a.5641.1,{}
5642.a.174902.1,{2}
5644.a.383792.1,"{2, 3}"
5649.a.16947.1,{2}
5651.a.5651.1,{}
5651.b.5651.1,{}
5655.a.84825.1,{2}
5655.b.491985.1,{2}
5659.a.5659.1,{3}
5662.a.90592.1,{}
5666.a.11332.1,{}
5668.a.5668.1,{}
5669.a.5669.1,{2}
5669.b.5669.1,{2}
5669.c.5669.1,{2}
5674.a.45392.1,{2}
5674.b.726272.1,{2}
5677.a.5677.1,{}
5680.a.908800.1,{2}
5685.a.51165.1,{}
5696.a.11392.1,{}
5696.a.11392.2,{}
5705.a.5705.1,{2}
5711.a.5711.1,{7}
5723.a.5723.1,{2}
5723.a.5723.2,{2}
5732.a.45856.1,{}
5739.a.154953.1,"{2, 3}"
5753.a.63283.1,{2}
5758.a.368512.1,{}
5769.a.17307.1,{2}
5769.b.17307.1,{}
5769.c.17307.1,{2}
5775.a.144375.1,{2}
5788.a.11576.1,{}
5798.a.11596.1,{}
5798.b.185536.1,{2}
5800.a.928000.1,{2}
5803.a.5803.1,{2}
5808.a.5808.1,{2}
5815.a.29075.1,{2}
5819.a.5819.1,{}
5827.a.5827.1,{}
5834.a.46672.1,{2}
5835.a.5835.1,{2}
5835.b.5835.1,{2}
5835.c.5835.1,{2}
5835.c.5835.2,{2}
5837.a.5837.1,{}
5849.a.5849.1,{}
5854.a.93664.1,{}
5856.a.93696.1,{2}
5856.b.187392.1,"{2, 3}"
5863.a.76219.1,{2}
5864.a.11728.1,{3}
5864.b.11728.1,{2}
5864.b.750592.1,{2}
5864.c.23456.1,{5}
5864.d.375296.1,{}
5865.a.5865.1,{}
5865.b.5865.1,{3}
5867.a.5867.1,{}
5868.a.751104.1,"{2, 5}"
5868.a.844992.1,"{2, 5}"
5871.a.5871.1,{2}
5880.a.411600.1,{2}
5888.a.5888.1,{2}
5888.b.5888.1,{2}
5888.b.94208.1,{2}
5888.c.5888.1,{2}
5888.c.94208.1,{2}
5888.c.94208.2,{2}
5893.a.5893.1,{}
5898.a.5898.1,{}
5904.a.70848.1,{2}
5911.a.5911.1,{}
5911.b.5911.1,{}
5915.a.384475.1,{2}
5928.a.450528.1,"{2, 5}"
5929.a.456533.1,{2}
5930.a.5930.1,{2}
5933.a.5933.1,{2}
5936.a.41552.1,{2}
5936.b.94976.1,{}
5939.a.5939.1,{3}
5952.a.71424.1,{2}
5952.b.71424.1,{2}
5952.c.380928.1,{2}
5952.c.380928.2,{2}
5952.c.642816.1,{2}
5957.a.5957.1,{2}
5964.a.35784.1,{3}
5968.a.381952.1,{13}
5971.a.41797.1,{}
5976.a.573696.1,{2}
5992.a.11984.1,{2}
5992.a.47936.1,{2}
5992.b.766976.1,{2}
5994.a.485514.1,{5}
5998.a.5998.1,{2}
6003.a.18009.1,{}
6005.a.6005.1,{5}
6008.a.12016.1,{2}
6013.a.42091.1,{2}
6018.a.204612.1,{2}
6019.a.6019.1,{}
6022.a.48176.1,{}
6032.a.78416.1,{2}
6034.a.84476.1,{2}
6050.a.60500.1,{3}
6074.a.48592.1,{}
6074.b.194368.1,{}
6075.c.91125.1,{2}
6076.a.97216.1,{}
6076.b.170128.1,{}
6080.a.97280.1,{2}
6081.a.6081.1,{2}
6081.a.164187.1,{2}
6081.b.164187.1,{}
6088.a.12176.1,{2}
6088.b.48704.1,{2}
6090.a.127890.1,{2}
6093.a.54837.1,{5}
6093.b.54837.1,{2}
6093.b.493533.1,{2}
6096.a.97536.1,{5}
6096.b.97536.1,{}
6096.c.390144.1,{}
6099.a.115881.1,{2}
6105.a.201465.1,{2}
6106.a.390784.1,{}
6107.a.189317.1,{2}
6108.a.109944.1,{3}
6117.a.6117.1,{}
6117.b.495477.1,{5}
6120.a.110160.1,{2}
6120.b.440640.1,{2}
6120.c.991440.1,"{2, 3}"
6124.a.97984.1,{}
6129.a.165483.1,{2}
6135.a.6135.1,{2}
6136.a.24544.1,{5}
6140.a.24560.1,{}
6142.a.12284.1,{}
6144.a.12288.1,{2}
6152.a.49216.1,{}
6153.a.6153.1,{2}
6153.a.166131.1,{2}
6160.a.6160.1,{}
6160.b.24640.1,{}
6163.a.6163.1,{2}
6166.a.49328.1,{}
6167.a.6167.1,{}
6169.a.6169.1,{}
6172.a.98752.1,{5}
6173.a.6173.1,{}
6176.a.49408.1,{}
6192.a.6192.1,{2}
6199.a.6199.1,{3}
6201.a.241839.1,{2}
6203.a.6203.1,{2}
6203.b.6203.1,{}
6203.c.6203.1,{2}
6203.d.6203.1,{2}
6203.e.6203.1,{}
6203.f.6203.1,{}
6208.a.198656.1,{}
6210.a.12420.1,{2}
6210.b.794880.1,{2}
6210.c.894240.1,{5}
6216.a.459984.1,{2}
6217.a.6217.1,{}
6220.a.199040.1,{2}
6224.a.24896.1,{2}
6224.b.24896.1,{2}
6228.a.597888.1,{2}
6229.a.6229.1,{}
6232.a.12464.1,{}
6234.a.18702.1,{}
6235.a.904075.1,{2}
6249.a.6249.1,{}
6256.a.800768.1,{}
6258.a.6258.1,{2}
6262.a.12524.1,{2}
6265.a.43855.1,{2}
6267.a.6267.1,{2}
6270.a.188100.1,{2}
6273.a.56457.1,{2}
6279.a.144417.1,{2}
6281.a.69091.1,{2}
6282.a.301536.1,{}
6284.a.25136.1,{}
6285.a.6285.1,{}
6288.a.12576.1,"{2, 3}"
6288.b.75456.1,{2}
6291.a.6291.1,{}
6291.b.6291.1,{}
6291.c.6291.1,{}
6291.d.6291.1,{}
6291.e.56619.1,{}
6291.f.56619.1,{}
6294.a.201408.1,{}
6304.a.201728.1,{}
6307.a.334271.1,{2}
6308.a.807424.1,{}
6309.a.6309.1,{2}
6309.a.6309.2,{2}
6312.a.100992.1,{}
6313.a.6313.1,{}
6314.a.6314.1,{2}
6319.a.448649.1,{2}
6321.a.44247.1,{}
6322.a.12644.1,{}
6327.a.170829.1,{7}
6334.a.25336.1,{3}
6336.a.152064.1,{3}
6342.a.202944.1,{}
6343.a.6343.1,{2}
6348.a.25392.1,{2}
6348.a.171396.1,{2}
6351.a.19053.1,{2}
6352.a.101632.1,{2}
6352.b.406528.1,{2}
6369.a.19107.1,{2}
6369.b.171963.1,{2}
6374.a.6374.1,{}
6375.a.95625.1,{2}
6376.a.12752.1,{2}
6399.a.6399.1,{2}
6399.a.172773.1,{2}
6400.a.12800.1,{2}
6404.a.12808.1,{}
6420.a.25680.1,"{2, 3}"
6423.a.19269.1,{}
6426.a.218484.1,{2}
6429.a.6429.1,{2}
6437.a.6437.1,{}
6441.a.6441.1,{3}
6441.b.57969.1,{}
6443.a.6443.1,{}
6448.a.825344.1,{2}
6452.a.103232.1,{3}
6454.a.25816.1,{}
6454.b.103264.1,{}
6463.a.6463.1,{}
6464.a.413696.1,{7}
6472.a.12944.1,{}
6474.a.673296.1,{2}
6480.a.103680.1,{2}
6490.a.142780.1,{2}
6491.a.6491.1,{5}
6496.a.727552.1,{2}
6506.a.13012.1,{}
6509.a.6509.1,{}
6511.a.6511.1,{}
6512.a.6512.1,{}
6512.b.6512.1,{}
6512.c.26048.1,{5}
6516.a.834048.1,{2}
6520.a.26080.1,"{2, 5}"
6524.a.13048.1,{}
6540.a.78480.1,{3}
6544.a.6544.1,{3}
6544.a.104704.1,{}
6544.b.418816.1,{13}
6549.a.6549.1,{2}
6560.a.52480.1,{2}
6560.b.524800.2,{2}
6560.b.524800.1,{2}
6566.a.91924.1,{2}
6570.a.479610.1,{2}
6571.a.6571.1,{2}
6574.a.13148.1,{2}
6575.a.32875.1,{2}
6579.a.19737.1,{2}
6582.a.6582.1,{}
6588.a.105408.1,{3}
6592.a.843776.1,{}
6602.a.211264.1,{2}
6608.a.26432.1,{2}
6613.a.112421.1,{2}
6615.a.6615.1,{}
6615.b.416745.1,{2}
6621.a.6621.1,{2}
6625.a.6625.1,{}
6625.b.33125.1,{2}
6625.c.33125.1,{2}
6625.c.33125.2,{2}
6628.a.212096.1,{11}
6631.a.125989.1,{3}
6631.b.125989.1,{2}
6640.a.531200.1,"{2, 3}"
6652.a.106432.1,{}
6656.a.212992.1,{2}
6656.b.851968.1,{2}
6658.a.106528.1,{}
6664.a.13328.1,{2}
6672.a.6672.1,{2}
6672.a.720576.1,{2}
6672.b.40032.1,{2}
6672.c.320256.1,{2}
6675.a.60075.1,{2}
6677.a.6677.1,{2}
6688.a.53504.1,{}
6688.b.856064.1,{}
6688.c.856064.1,{}
6688.d.856064.1,{}
6698.a.227732.1,{2}
6698.b.455464.1,{2}
6702.a.80424.1,{}
6704.a.429056.1,{}
6713.a.6713.1,{3}
6718.a.13436.1,{}
6728.a.13456.1,{}
6735.a.60615.1,{}
6736.a.215552.1,{2}
6736.b.431104.1,{}
6743.a.74173.1,{}
6759.a.182493.1,{2}
6761.a.6761.1,{}
6763.a.6763.1,{}
6768.a.6768.1,{2}
6782.a.27128.1,{3}
6783.a.997101.1,{}
6784.a.6784.1,"{2, 3}"
6784.b.6784.1,{}
6784.c.6784.1,{2}
6784.d.13568.1,{2}
6784.e.868352.1,{2}
6785.a.33925.1,{}
6792.a.40752.1,{2}
6795.a.6795.1,{2}
6797.a.6797.1,{}
6800.a.27200.1,{}
6804.a.40824.1,{3}
6807.a.20421.1,{}
6807.b.183789.1,{}
6810.a.61290.1,"{2, 3}"
6811.a.6811.1,{2}
6813.a.61317.1,{2}
6813.b.61317.1,{2}
6813.c.551853.1,{2}
6814.a.13628.1,{2}
6814.b.109024.1,{}
6816.a.109056.1,{2}
6816.a.872448.1,{2}
6816.b.109056.1,{2}
6825.a.716625.1,{2}
6826.a.218432.1,"{2, 3}"
6827.a.6827.1,{5}
6827.a.6827.2,{}
6831.a.157113.1,{2}
6831.a.225423.1,{2}
6838.a.27352.1,{3}
6843.a.6843.1,{3}
6843.b.6843.1,{3}
6843.c.554283.1,{}
6845.b.34225.1,{}
6860.a.48020.1,{2}
6868.a.439552.1,{}
6868.b.439552.1,{2}
6869.a.6869.1,{}
6877.a.6877.1,{2}
6877.b.6877.1,{2}
6880.a.110080.1,{2}
6880.b.440320.1,{2}
6884.a.55072.1,{3}
6885.a.20655.1,{2}
6887.a.6887.1,{}
6891.a.20673.1,{}
6896.a.110336.1,{2}
6896.b.441344.1,"{2, 3}"
